,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count,Industries_List,Manufacturing,Warehouses,Offices,"Movie, TV and music production",Distribution,Construction,Malls,Hotels,Governor,Party,Abbreviation
42,South Dakota,Reopened,[],Did not have a statewide stay-at-home order.,0,0,0,0,0,0,0,0,No Industry,0,0,0,0,0,0,0,0,Kristi L. Noem,Republican,SD
43,Texas,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Entertainment', 'Personal care', 'Industries']",April 30,1,1,1,1,1,1,0,6,No Industry,0,0,0,0,0,0,0,0,Greg Abbott,Republican,TX
44,Utah,Reopened,"['Food and drink', 'Personal care', 'Outdoor and recreation', 'Houses of worship']",Did not have a statewide stay-at-home order.,1,0,1,1,0,0,1,3,No Industry,0,0,0,0,0,0,0,0,Gary Herbert,Republican,UT
45,Vermont,Reopened,"['Industries', 'Outdoor and recreation', 'Retail', 'Personal care', 'Entertainment', 'Food and drink']",May 15,1,1,1,1,1,1,0,6,"Manufacturing, construction, distribution",1,0,0,0,1,1,0,0,Phil Scott,Republican,VT
46,Virginia,Reopened,"['Retail', 'Personal care', 'Outdoor and recreation', 'Houses of worship', 'Food and drink', 'Entertainment']",June 10,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Ralph Northam,Democratic,VA
47,Washington,Reopened,"['Outdoor and recreation', 'Retail', 'Houses of worship', 'Industries', 'Food and drink', 'Personal care', 'Entertainment']",May 31,1,1,1,1,1,1,1,6,Construction,0,0,0,0,0,1,0,0,Jay Inslee,Democratic,WA
48,West Virginia,Reopened,"['Personal care', 'Outdoor and recreation', 'Food and drink', 'Retail', 'Entertainment']",May 3,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Jim Justice,Republican,WV
49,Wisconsin,Reopened,"['Outdoor and recreation', 'Personal care', 'Houses of worship', 'Retail', 'Food and drink']",May 13,1,1,1,1,0,0,1,4,No Industry,0,0,0,0,0,0,0,0,Tony Evers,Democratic,WI
50,Wyoming,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Entertainment', 'Houses of worship']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,1,4,No Industry,0,0,0,0,0,0,0,0,Mark Gordon,Republican,WY
51,Tennessee,Reopened,"['Outdoor and recreation', 'Food and drink', 'Retail', 'Personal care']",April 30,1,1,1,1,0,0,0,4,No Industry,0,0,0,0,0,0,0,0,Bill Lee,Republican,TN
